id,FULL_NAME,REGION,CITY,DISTRICT,LOCALITY,CLASS_OF_ROAD,ROAD_CATEGORY,LENGTH_POPIKETNO,ROADWAY_WIDTH,RANKS,COATING,COST,TRAFFIC_INTENSITY,TOP_SPEED,THROUGHPUT,ROAD_PART,CORE_NETWORK,VALUE_OF_THE_ROAD,DATA_CONFIRMATION,CONFIRM_USER,PLANNING_STRUCTURE,CATEGORY_SNIP,EMERGENCY_SECTION,ROAD_PART_OVERLOADED,CRITERION,DATA_EXPL,SQUARE,LOCATION_START,INTERNATIONAL,IDENTIFICATION_NUMBER_SECTION,NORM_PERCENTAGE,TIME_CONFIRMATION,SUBGRADE_WIDTH,HUMIDIFICATION_COND,OSTATOK,IS_CHECKED,UCHET_NUMBER,CLIMATIC_ZONE,BALANCE_STOIM,INTRACITY_TERRITORY,MESSAGE,geometry
200042690,Прямицыно - АБЗ Октябрьского ДЭП на км 1 + 275 в Октябрьском районе Курской области на участке км 1 + 212 - км 1 + 786 (0+000 - 0+574),,,,,,,,,,,,,,,,,,,,,,,,,,2583.0,,,,,,,,,,,,,,,
200042705,ул Ленина (0+000 - 0+900),,,,,,,,,,,,,,,,,,,,,,,,,,5400.0,,,,,,,,,,,,1802.589,,,
200042787,пер Малый (0+000 - 0+900),,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,,,,,,,,,,,135.808,,,
200042859,ул Коллективная (0+000 - 0+600),,,,,,,,,,,,,,,,,,,,,,,,,,3600.0,,,,,,,,,,,,246672.0,,,
200042884,ул Киевская (0+000 - 0+598),,,,,,,,,,,,,,,,,,,,,,,,,,3588.0,,,,,,,,,,,,1.0,,,
200042897,ул Новоселовка (0+000 - 0+800),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200042911,проезд от ул  Новая до животноводческой точки ЛПХ А К Мажитова (0+000 - 1+870),,,,,,,,,,,,,,,,,,,,,,,,,,11220.0,,,,,,,,,,,,168.3,,,
200042968,от х Криушинский до х Уваровский (0+000 - 0+402),,,,,,,,,,,,,,,,,,,,,,,,,,2613.0,,,,,,,,,,,,0.0,,,
200043032,ул Комсомольская (0+000 - 0+315),,,,,,,,,,,,,,,,,,,,,,,,,,1890.0,,,,,,,,,,,,1.0,,,
200043045,ул Зеленая (0+000 - 0+400),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200046178,ул Короткая (0+000 - 0+200),,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,148520.0,,,
200046201,ул Кирова (0+000 - 0+200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200046216,ул Комсомольская (0+000 - 1+195),,,,,,,,,,,,,,,,,,,,,,,,,,6572.5,,,,,,,,,,,,1.0,,,
200046245,проезд от ул Совхозная до ул Асфальтная (0+000 - 0+665),,,,,,,,,,,,,,,,,,,,,,,,,,3990.0,,,,,,,,,,,,0.001,,,
200046260,ул Сосновая (0+000 - 0+685),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200046628,ул Ясная (0+000 - 0+310),,,,,,,,,,,,,,,,,,,,,,,,,,1860.0,,,,,,,,,,,,,,,
200049508,пер Первомайский (0+000 - 0+200),,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,
200049566,ул Крайняя (0+000 - 0+889),,,,,,,,,,,,,,,,,,,,,,,,,,5334.0,,,,,,,,,,,,1.0,,,
200049585,ул Набережная (0+000 - 2+600),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200053197,ул Красноармейская (0+000 - 0+679),,,,,,,,,,,,,,,,,,,,,,,,,,3734.5,,,,,,,,,,,,1.0,,,
200053241,ул 50 лет ВЛКСМ (0+000 - 0+296),,,,,,,,,,,,,,,,,,,,,,,,,,1184.0,,,,,,,,,,,,0.001,,,
200053266,ул Федюнина (0+000 - 0+750),,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,,,,,,,,,,,,0.001,,,
200053579,От дома №1а по ул Молодежная до границы Ставропольского края,Кабардино-Балкарская Республика,,р-н Зольский,с Белокаменское,Обычная автомобильная дорога (нескоростная автомобильная дорога),V,1.5,4,1,Грунтовые,,300.0,70,300,,,автомобильная дорога местного значения,10.12.2024,Маремкулова Мариета Владимировна,,Местные улицы,,,,01.01.1950,6000.0,0+000,,83-215-000 ОП МП 07,60.0,11:37:42,,тип 1,,1,07,IV,,,,"LINESTRING (4789417.964976248 5447291.168801132, 4789453.794833258 5449377.063643316)"
200053578,"Подъездной путь к ФОК ОТ по ул Центральная, 2а",Кабардино-Балкарская Республика,,р-н Зольский,с Белокаменское,Обычная автомобильная дорога (нескоростная автомобильная дорога),V,0.3,4,1,Асфальтобетонные,,300.0,60,300,,,автомобильная дорога местного значения,10.12.2024,Маремкулова Мариета Владимировна,,Улицы и дороги местного значения - улицы в зонах жилой застройки,,,,01.10.2022,1200.0,0+000,,83-215-000 ОП МП 16,80.0,11:36:46,,тип 1,,1,16,IV,,,,"LINESTRING (4789153.227880346 5447228.970062151, 4789136.507280408 5447336.459633177, 4789162.782508881 5447409.910840045, 4789377.761650933 5447472.015925527)"
